familyId,CategoryID
1546601,116102
993402,116102
993401,116102
993400,116102
993741,116102
993740,116102
993628,116102
993627,116102
993739,116102
993626,116102
1332506,116102
1315201,116102
1332505,116102
1315391,116102
1332437,116102
1315292,116102
1315390,116102
1332504,116102
1315200,116102
1315389,116102
993390,116102
1315291,116102
1546488,116102
993396,116102
1546491,116102
993729,116102
1437448,116102
1437076,116102
1436878,116102
1546494,116102
993616,116102
1332503,116102
1546484,116102
1315199,116102
993735,116102
1315388,116102
1437075,116102
1436877,116102
1437293,116102
1436921,116102
1315290,116102
993389,116102
993622,116102
1437292,116102
1436920,116102
1437262,116102
993728,116102
1437446,116102
1437074,116102
1436876,116102
1437291,116102
1436919,116102
1436891,116102
993615,116102
1437290,116102
1437289,116102
1436918,116102
1436917,116102
1436890,116102
1436889,116102
1437261,116102
1437447,116102
1437107,116102
1437414,116102
1437042,116102
1436893,116102
1437287,116102
1436916,116102
1436915,116102
1436888,116102
1436887,116102
1435933,116102
993395,116102
1437106,116102
1437413,116102
1437041,116102
1436892,116102
993388,116102
1437286,116102
1437285,116102
1436914,116102
1436913,116102
1436886,116102
1436885,116102
1435885,116102
1437040,116102
1436750,116102
1332502,116102
1437104,116102
1437103,116102
993727,116102
1437411,116102
1437039,116102
1437038,116102
1332558,116102
993734,116102
993387,116102
993614,116102
1437228,116102
1546500,116102
1315198,116102
993392,116102
1436752,116102
1435923,116102
1435850,116102
1437409,116102
1437408,116102
1437037,116102
1437036,116102
1437288,116102
1435916,116102
1435849,116102
1546504,116102
993386,116102
1315387,116102
1437283,116102
1436912,116102
1436911,116102
1436884,116102
1436883,116102
993621,116102
1332491,116102
1437227,116102
1315289,116102
1437100,116102
1437099,116102
1436751,116102
1546499,116102
1437407,116102
1437035,116102
1437034,116102
993726,116102
1437282,116102
1437281,116102
1436910,116102
1436909,116102
1436882,116102
1436881,116102
1546501,116102
1437385,116102
1437013,116102
1436858,116102
1435915,116102
1435848,116102
1487423,116102
1437278,116102
1436906,116102
1436734,116102
1315190,116102
1437453,116102
1437081,116102
1436898,116102
1332497,116102
1437105,116102
993613,116102
